"title","category","address","otherAddress","detailLink","website","latitude","longitude","detailImgUrl"
"12인치","와인바","경기 수원시 팔달구 정조로 868 2층","(지번) 북수동 171","https://place.map.kakao.com/1206537134","https://instagram.com/12inch_tune","37.285574215","127.015807281","https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FB685D525C44F4C1097CBBE60D8677C28,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F2FE25A26761648FDAB46CD2A9639080B,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F39E9ADEDCD3B4EDA9F595DC1533BB5F1,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F4F34603B1AA843E0AB84094142DD7D5A,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F618b7058b25b72ccf3752de1d53234ed3a715322%3Foriginal"
"16C 버건디","와인바","경기 고양시 일산동구 백마로 195 SK M-CITY 오피스텔 2104호","(지번) 장항동 869","https://place.map.kakao.com/518676885","","37.654225855","126.772048573",""
"1858","와인바","부산 부산진구 동천로95번길 4 3층","(지번) 부전동 149-14","https://place.map.kakao.com/2067156404","https://www.instagram.com/1858s.hyun/","35.157330641","129.062061899",""
"190 바","와인바","충북 청주시 흥덕구 대신로73번길 41 2층","(지번) 복대동 3265","https://place.map.kakao.com/186231558","https://www.instagram.com/p/CXJfXk-PBrn/?utm_medium=copy_link","36.639456241","127.432922931","https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F0796551F8DDF45FE8C9891C382942439,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F069AFC640B8C4B018ABD948437104D72,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F184B7173A44342EFA9350E198D24BFA1,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FDFE9B3D475E44602A23241833B4FCB20,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FF82B502C77B74176AD6CADE19DF70BEF"
"1983피자&펍 with플라워맨","피자","경기 부천시 석천로177번길 44 만흥프라자 지하1층","(지번) 중동 1166-9","https://place.map.kakao.com/206857096","https://blog.naver.com/jdu412","37.50373047","126.760426564",""
"1984라벨라","와인바","부산 부산진구 중앙대로680번가길 80-17 2층","(지번) 부전동 168-391","https://place.map.kakao.com/1760116204","https://blog.naver.com/1984labella","35.156957876","129.061747717",""
"1985bistro","와인바","경기 파주시 가람로21번길 7-7 1층","(지번) 와동동 1599-2","https://place.map.kakao.com/1436172495","","37.734084933","126.751831178","https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3C124BEC595E416C84DD6EE47B8BFC6C,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F82f87ebef905fc8d6c1b7099c95f064562df8d6f%3Foriginal,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA4MDRfMjAy%2FMDAxNjU5NjIzNDE3ODgx.d9wMErDzftY9L3JbF0GKfRGQGIqLoiIMs6hTchuxDWwg.ZS1RdcAqJ-HDreBLB24tv0ucPe4CLgVHkGKOdJ8PzTQg.JPEG.han1246%2FIMG_4978.jpg%3Ftype%3Dw773,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA4MDRfMjI1%2FMDAxNjU5NjIzNDEwMjk1.w9w6KYiUCk7Jy6AU8aBFtFs45Skqn07HN5SNkN26yzsg.PqfEbcWlmnySgfX4mWZJ0zTVTIV8rMct-eo3JUKtK4wg.JPEG.han1246%2FIMG_4976.jpg%3Ftype%3Dw773,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA4MDRfMjcy%2FMDAxNjU5NjIzNDIxNDQy.r4L7doWeX2YP4prnT1W-dDa60cJKX2b39gW3RwSnnrwg.UnwtXPIiU1AGf3bs0As2BUVsLmhnfT7flHjXkL83K_kg.JPEG.han1246%2FIMG_4975.jpg%3Ftype%3Dw773"
"1987마르쉐","와인바","대전 유성구 온천북로 7 레자미 멀티홈 1층 117호","(지번) 봉명동 617-4","https://place.map.kakao.com/423302167","","36.357469585","127.344048737",""
"1티어","와인바","서울 송파구 송파대로 201 송파테라타워2 B동 1층 127,128호","(지번) 문정동 642","https://place.map.kakao.com/290231973","","37.487773698","127.120609257","https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1E07E8E2FBD94433BB1EFAC36E4E87D8,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAzMDFfNTEg%2FMDAxNjc3NjY2OTg1ODcy.j4R18DIeJw24ylF5lEM1hVmQ7dk8adb6Xj0GDuS4yyYg.y722CqCZjm392gq5NnCQuNwYkAyRVVtTW8fuTczo3RUg.JPEG.holikaholik%2F20230227%25EF%25BC%25BF204608.jpg%3Ftype%3Dw966,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAzMDFfMTE2%2FMDAxNjc3NjY2OTg2MzA2.0Cv43RAA2cRRj_1nym4XmsP195QPvUWzYvHh2YDhNfMg.bHuLmsak3FF2nvh12pN8HRDW4jaISiH5mGV-v2E6EH8g.JPEG.holikaholik%2F20230227%25EF%25BC%25BF205652.jpg%3Ftype%3Dw966,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAzMDFfMjk3%2FMDAxNjc3NjY2OTg1OTk2.-EU2QR-xbNMFLEK40vevV2gQebUtpOnSQ8SyVfcSEpIg.RzFuVlMGQhm4A_uU9DrXGqQ9Ync7f_HCt5YcHfF85H4g.JPEG.holikaholik%2F20230227%25EF%25BC%25BF205156.jpg%3Ftype%3Dw966,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAzMDFfMTcy%2FMDAxNjc3NjY3MTU5MjA5.7VeSD9yvZY0NL0WTis23iJDjx-XQEgIMHKGpL7vigNgg.RUq259i0e5bQHGafTc1F5NwpCSUjSvvQ25hxNCBrqAAg.JPEG.holikaholik%2F1677667157977.jpg%3Ftype%3Dw966"
"23일","와인바","부산 중구 중구로29번길 9-1 1층","(지번) 부평동1가 30-26","https://place.map.kakao.com/1997484695","https://www.instagram.com/bar_23il/","35.100335482","129.027306774","https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F7AFBEC6C058E4557B80E9C217BA97E5E,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Fpostfiles4.naver.net%2FMjAyMTAyMjdfMjgy%2FMDAxNjE0NDMwODIzNjQx.6q1EV7PZeQHyB6YiEW4Z9z546o2SUTDbhbZIybmB5Kgg.tvbOF--d-qg8r2_PTuvn6RNIhfa6KD6PLbRsF5VLJbIg.JPEG.wonjin3421%2FIMG_1996.jpg%3Ftype%3Dw966,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Fpostfiles5.naver.net%2FMjAyMTAyMjdfMzAg%2FMDAxNjE0NDMwODIzNzE5.vr6C58Vosk1LatPtE3CB77wC1C9PxZovBA2c_qi9qw0g.t6Uh0Cpx1XtWFy7kiDAAxvOEBUZhzqLJpbXn2gwxzd0g.JPEG.wonjin3421%2FIMG_1997.jpg%3Ftype%3Dw966,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Fpostfiles9.naver.net%2FMjAyMTAyMjdfMjc5%2FMDAxNjE0NDMwODEyOTIz.FaO-x2byTY28a7me8wL8DnTbKFTkhvuEZgs3YHbmSuEg.ex4TIY4CiEB8ULG3iWJR-uRxaHuh36Kw9uHCZnScWm8g.JPEG.wonjin3421%2FIMG_1993.jpg%3Ftype%3Dw966,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAyMTJfOTgg%2FMDAxNjc2MjA4NTkwNzM5.wXHNmEFNCK4LaIeKbMxwF78fCQyPEMn02ds2r8XE0rEg.Nm8h3Oum0r9aqeteDfqfFF-KbEPDiacIfP70u67QqB0g.JPEG.ydy6234%2FIMG_0531.jpg%3Ftype%3Dw966"
